SCSA,BSRM,AKLS,SCDG,XASE,SFAW,HAKC,VWWT,AASS,TRTR,TARGET_CLASS
0,1636.6706142430207,817.9885253507288,2565.995188932711,358.34716327779535,550.4174908535903,1618.8708966565232,2147.641253749742,330.72789262567693,1494.8786309417942,845.1360880898293,0
1,1013.4027598314908,577.5873317065663,2644.1412725836967,280.42820339449435,1161.8733913229291,2084.107871810679,853.4049813963693,447.1576193982263,1193.0325206130913,861.0818088449158,1
2,1300.0355007372152,820.5186973189192,2025.854468817945,525.5622916717391,922.206261309821,2552.355406517483,818.6766862713009,845.4914920482373,1968.367513467638,1647.1862906769516,1
3,1059.3475419516758,1066.8664177521566,612.0000407362212,480.8277891603064,419.46749461110176,685.6669825525098,852.8678103470528,341.66478398330946,1154.3913680901117,1450.9353569822388,0
4,1018.3405256836501,1313.6790555497525,950.6226611030015,724.7421744729451,843.0659034311783,1370.5541635750626,905.4694531315494,658.1182023504416,539.4593495711765,1899.8507915615548,0
5,1587.9934610947546,667.4201206121311,2072.0485441029396,364.6249575918509,905.0113846219307,2229.1785143840307,880.4425663503768,568.698408434049,645.7192172187023,2156.9499903961623,1
6,1497.2936241336129,822.4358527781988,908.0593655531833,671.7975171367275,1280.2704416599956,1910.0663129988238,1052.8123858678127,713.7574985852604,703.9516317492282,1088.4937875242508,0
7,1172.8207688987613,1166.9584610565312,455.65658792327883,445.5727452736271,1109.8945845979924,1045.551451568086,1301.8217864164724,264.94013730184275,945.0239321289882,2307.922228681875,0
8,839.4946470072597,1089.7470593994212,653.6998942988921,659.3345896405865,1529.7259715107998,1521.3204894029252,1401.6762273954791,433.0250425031873,1289.0635827559254,1690.1498353446275,0
9,1028.6891402657466,202.0897743505701,1030.8418601239457,429.10910197078886,943.1048147760981,1978.50685466849,653.1785122634919,753.6552905746643,1336.3759601813056,1057.864848111441,1
10,1042.9454311293132,826.0099000058359,741.5185935041537,548.2373812151377,1528.6759990939388,2045.5410162307053,870.2451985997343,495.1773383874941,1452.4013308263297,1814.555349764176,0
11,715.5339487315867,768.0015490023866,1513.342810224458,95.99587551526524,1281.7872423114866,1090.2171803455904,1982.2112521448507,465.5893813296061,914.055857867711,872.7056597506837,1
12,747.29167184462,686.6332843839859,1616.2295496992097,511.18776436693395,1134.4626637203733,795.0973877546077,1990.5801649840992,117.92341560152944,1325.204824517233,1377.7895572836744,1
13,1283.5074229000465,431.89466761310865,1546.9327460053305,561.8856337863164,525.9565924547035,867.627120063044,595.6905731842973,458.8913683719339,1299.2396798613975,1056.137310722419,0
14,520.8030317870653,804.0542622266681,1758.460120466057,485.30440092727633,1130.5087173139925,1303.730110746644,2076.521049757469,962.8611650083552,773.5523801196097,314.47121484970774,1
15,873.1296174190741,452.91837178963874,2502.381633052813,473.00502684107454,1104.8419799015344,962.9538426770794,2442.336840728704,426.7606867705288,1018.2621541825206,1416.744984525009,1
16,788.7434176615699,1074.64331759504,1590.149210982366,352.8760134008593,264.3189095640329,2044.6463025868466,497.95607619427386,509.5362094078793,967.3984791266663,921.1432085188808,0
17,1656.397158364505,1246.5073586815,819.5646947847523,759.1766573996457,1177.1731273098078,1138.8127561550964,2028.880844639646,774.3851374286028,1220.454072475524,1511.8625426412866,0
18,1659.9850692811926,564.2614797722064,1330.5142485931822,351.21267890119094,1133.611093090682,1401.6434945782428,1537.0333282559625,185.94450931596845,704.4360359822217,1530.5767561606924,1
19,977.9705109178116,1256.551408768747,1296.039272741879,446.88375628780585,856.8896139540434,2207.645059095711,1144.6682381540609,304.05029323763006,385.6523647266832,1098.5204115431343,0
20,1590.9539188769477,1642.642025916398,1441.5588642583166,452.35525150569464,1185.1512564143025,1271.0757523273567,1601.7234799969342,33.79584005995943,1393.7993105459507,1367.8356955017114,0
21,925.5100814176708,1208.215973620608,1535.0529712996365,348.72368536908266,822.4280454973867,1000.3507317857118,3147.8528873850714,587.1953283403886,1566.30470481534,655.5029380567318,1
22,1112.1776430576137,1299.3533716904872,3088.9717283711548,482.29068337626296,976.8094105875583,1977.6670127891687,1436.4324957380218,438.6097102693043,921.4522562600607,2222.7243302352013,1
23,869.2765716339155,1553.3339838330967,627.1419833475818,713.373251259479,907.8521261761991,1211.430750861543,1962.2294864161179,553.4777593949027,1610.4112774930356,1565.0930296176246,0
24,1004.4688973745256,352.7526722483378,1837.0763853044439,383.00529427836835,1251.2508033068555,1059.6424913980882,1577.9678511676307,372.5554092822711,501.92452112572585,1404.1277998585,1
25,1195.067484139776,309.8731882970492,1427.6233873404904,481.5603325875209,1181.5898133590986,978.2047500125752,1625.9213572658139,306.0928100797849,702.7906986919593,1402.234682829138,1
26,727.1586557909711,761.8181188210265,665.3421078324056,522.9307866553518,1187.126255477922,1536.2374297142428,1892.641704536159,326.8817182193426,1097.6841969874915,724.5413264339047,0
27,969.2053665175192,1222.820168499843,458.0714847218497,277.52759504200003,973.0211379504344,1750.0786905806315,2820.4975659752417,610.9367569344811,892.0008847613612,1506.1877575262754,0
28,1379.8233884803185,587.7503047018963,1652.7467279257007,637.3493196319148,1171.338395824906,1311.6190076608032,282.97110585273845,705.405597367806,723.4188549501644,1157.3650086154648,0
29,1528.677740527453,1030.7041526514276,377.76346874536637,460.89255109584127,618.9182432773181,1813.1894287270345,1180.2930654945394,392.2216912399759,788.7471562685298,1116.0961211164122,0
30,757.1913671497122,679.701416012033,1639.24208418011,463.82855103832316,503.1644742563231,1605.403733345228,2851.4837676905195,850.0730984325488,830.735464237875,1850.936786605755,0
31,804.5623105755907,978.4221979871727,1505.2589401281616,609.702129716354,1065.668223471246,334.8760693475043,1888.7600795577441,330.7800503004934,1153.4439562311725,957.4422860323958,1
